村志代码 Gazetteer Code,村志书名 Gazetteer Title,村庄代码 Village Code,村名 - 汉字 Village Name - Chinese Characters,村名 - 汉语拼音 Village Name - Hanyu Pinyin,省 - 汉字 Province - Chinese Characters,省 - 汉语拼音 Province - Hanyu Pinyin,市 - 汉字 City - Chinese Characters,市 - 汉语拼音 City - Hanyu Pinyin,县 / 区 - 汉字 County / District - Chinese Characters,县 / 区 - 汉语拼音 County / District - Hanyu Pinyin,村庄总面积单位 Total Area Unit,村庄总面积 Total Area,经纬度 - 格式 Latitude and Longitude - Format,纬度 Latitude,经度 Longitude,距隶属县城距离单位 Distance to Affiliated to the county town - Unit,距隶属县城距离 Distance to Affiliated to the county town
0069,五一村志,610112002201,五一村,Wuyi Cun,陕西省,Shanxi Sheng,西安市,Xi'an Shi,未央区,Weiyang Qu,亩 mu,1650,没有相关数据 No Available Data,,,公里/千米 kilometer,13
0070,乌玉村志,140322101211,乌玉村,Wuyu Cun,山西省,Shanxi Sheng,阳泉市,Yangquan Shi,盂县,Yu Xian,平方千米 / 平方公里 square kilometers,3.75,度分秒 DMS (degrees-minutes-seconds),n/a,112°49′E,公里/千米 kilometer,5
0071,前夹山村志,210212005200,前夹山村,Qianjiashan Cun,辽宁省,Liaoning Sheng,大连市,Dalian Shi,旅顺口区,Lüshunkou Qu,平方千米 / 平方公里 square kilometers,3.5,度分秒 DMS (degrees-minutes-seconds),38°52′N,121°13′E,没有相关数据 No Available Data,n/a
0072,浦联村志,330108003201,浦联村,Pulian Cun,浙江省,Zhejiang Sheng,杭州市,Hangzhou Shi,萧山区,Xiaoshan Qu,平方千米 / 平方公里 square kilometers,1.87,没有相关数据 No Available Data,n/a,n/a,公里/千米 kilometer,11
0073,三元朱村志,370783006232,三元朱村,Sanyuanzhu Cun,山东省,Shandong Sheng,潍坊市,Weifang Shi,寿光市,Shouguang Shi,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,,,公里/千米 kilometer,12
0074,上东廓村志,110114113205,上东廓村,Shangdongkuo Cun,北京市,Beijing Shi,北京市,Beijing Shi,昌平区,Changping Qu,亩 mu,7988,没有相关数据 No Available Data,,,公里/千米 kilometer,11.8
0075,琴湖村志,320581100015,琴湖村,Qinhu Cun,江苏省,Jiangsu Sheng,苏州市,Suzhou Shi,常熟市,Changshu Shi,亩 mu,2047,没有相关数据 No Available Data,,,公里/千米 kilometer,39
0076,沁水营村志,110115111210,沁水营村,Qinshuiying Cun,北京市,Beijing Shi,北京市,Beijing Shi,大兴区,Daxing Qu,平方千米 / 平方公里 square kilometers,2.59,度分秒 DMS (degrees-minutes-seconds),39°41′57.75″N,116°35′00.78″E,没有相关数据 No Available Data,n/a
0077,三洋村志,210212400200,三洋村,Sanyang Cun,辽宁省,Liaoning Sheng,大连市,Dalian Shi,旅顺口区,Lüshunkou Qu,平方千米 / 平方公里 square kilometers,6.99,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0078,三八里村志,210212005202,三八里村,Sanbali Cun,辽宁省,Liaoning Sheng,大连市,Dalian Shi,旅顺口区,Lüshunkou Qu,平方千米 / 平方公里 square kilometers,3.423,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0079,坦头村志,330303001220,坦头村,Tantou Cun,浙江省,Zhejiang Sheng,温州市,Wenzhou Shi,龙湾区,Longwan Qu,平方千米 / 平方公里 square kilometers,1.73,度分秒 DMS (degrees-minutes-seconds),27°54′44.73″N,120°47′51.02″,没有相关数据 No Available Data,n/a
0080,新店村志,610112002221,新店村,Xindian Cun,陕西省,Shanxi Sheng,西安市,Xi'an Shi,未央区,Weiyang Qu,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0081,北仪仙村志,370983102210,北仪仙村,Beiyixian Cun,山东省,Shandong Sheng,泰安市,Taian Shi,肥城市,Feicheng Shi,亩 mu,4500,没有相关数据 No Available Data,n/a,n/a,公里/千米 kilometer,5
0082,北良侯村志,n/a,北良侯村,Beilianghou Cun,山西省,Shanxi Sheng,长治市,Changzhi Shi,武乡县,Wuxiang Xian,亩 mu,11170,度分秒 DMS (degrees-minutes-seconds),n/a,112°66′E,公里/千米 kilometer,35
0083,柏沟村志,140522102202,柏沟村,Bogou Cun,山西省,Shanxi Sheng,晋城市,Jincheng Shi,阳城县,Yangcheng Xian,平方千米 / 平方公里 square kilometers,1.7,度分秒 DMS (degrees-minutes-seconds),35°5′N,112°5′E,公里/千米 kilometer,10
0084,三力村志,451228204203,三力村,Sanli Cun,广西壮族自治区,Guangxi Zhuangzu Zizhiqu,河池市,Hechi Shi,都安瑶族自治县,Du'an Yaozu Zizhixian,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0085,马鼻方志,n/a,马鼻村,Mabi Cun,广西壮族自治区,Guangxi Zhuangzu Zizhiqu,贺州市,Hezhou Shi,八步区,Babu Qu,亩 mu,7500,没有相关数据 No Available Data,,,公里/千米 kilometer,15
0086,石䧱村志,n/a,石䧱村,Shikuan Cun,安徽省,Anhui Sheng,宣城市,Xuancheng Shi,绩溪县,Jixi Xian,平方千米 / 平方公里 square kilometers,7.7,没有相关数据 No Available Data,n/a,n/a,没有相关数据 No Available Data,n/a
0087,坦头村志,341824102204,坦头村,Tantou Cun,安徽省,Anhui Sheng,宣城市,Xuancheng Shi,绩溪县,Jixi Xian,平方千米 / 平方公里 square kilometers,1.32,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0088,传字营村志,120112102202,传字营村,Chuanziying Cun,天津市,Tianjin Shi,天津市,Tianjin Shi,津南区,Jinnan Qu,平方千米 / 平方公里 square kilometers,3.9,度分秒 DMS (degrees-minutes-seconds),38°53′N,117°25′E,公里/千米 kilometer,25
0089,新立村志,120110005201,新立村,Xinli Cun,天津市,Tianjin Shi,天津市,Tianjin Shi,东丽区,Dongli Qu,平方千米 / 平方公里 square kilometers,5.3,度分秒 DMS (degrees-minutes-seconds),39°5′N,117°20′E,公里/千米 kilometer,5
0090,高山村志,450902004208,高山村,Gaoshan Cun,广西壮族自治区,Guangxi Zhuangzu Zizhiqu,玉林市,Yulin Shi,玉州区,Yuzhou Qu,平方千米 / 平方公里 square kilometers,4.5,度分秒 DMS (degrees-minutes-seconds),22°19′N,110°18′E,没有相关数据 No Available Data,n/a
0091,福保村志,530111008204,福保村,Fubao Cun,云南省,Yunnan Sheng,昆明市,Kunming Shi,官渡区,Guandu Qu,平方千米 / 平方公里 square kilometers,2.155,没有相关数据 No Available Data,,,公里/千米 kilometer,12
0092,上南村志,451226101002,上南村,Shangnan Cun,广西壮族自治区,Guangxi Zhuangzu Zizhiqu,河池市,Hechi Shi,环江毛南族自治县,Huanjiang Maonanzu Zizhixian,平方千米 / 平方公里 square kilometers,50,没有相关数据 No Available Data,,,公里/千米 kilometer,49
0093,霍庄子村志,120113111206,霍庄子村,Huozhuangzi Cun,天津市,Tianjin Shi,天津市,Tianjin Shi,北辰区,Beichen Qu,平方千米 / 平方公里 square kilometers,6.64,十进制 DD (decimal degrees),39.17°N,117.18°E,没有相关数据 No Available Data,n/a
0094,长畛村志,140521104201,长畛村,Changzhen Cun,山西省,Shanxi Sheng,晋城市,Jincheng Shi,沁水县,Qinshui Xian,平方千米 / 平方公里 square kilometers,2.5,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0095,大河村志,510503109202,大河村,Dahe Cun,四川省,Sichuan Sheng,泸州市,Luzhou Shi,纳溪区,Naxi Qu,平方千米 / 平方公里 square kilometers,4.96,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0096,大蒋庄村志,120111100216,大蒋庄村,Dajiangzhuang Cun,天津市,Tianjin Shi,天津市,Tianjin Shi,西青区,Xiqing Qu,平方米 square meters,96500,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0097,插旗山村志,510131102212,插旗山村,Chaqishan Cun,四川省,Sichuan Sheng,成都市,Chengdu Shi,蒲江县,Pujiang Xian,平方千米 / 平方公里 square kilometers,1.8,没有相关数据 No Available Data,,,公里/千米 kilometer,19
0098,福德村志,530111001004,福德村,Fude Cun,云南省,Yunnan Sheng,昆明市,Kunming Shi,官渡区,Guandu Qu,平方千米 / 平方公里 square kilometers,1.99,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0099,银桥村村志,532901108203,银桥村,Yinqiao Cun,云南省,Yunnan Sheng,大理白族自治州,Dali Baizu Zizhizhou,大理市,Dali Shi,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
