gazetteerId,villageInnerId,categoryId,unitId,data
741,741,3,1,13.3
743,743,3,1,NULL
746,746,3,1,20.0
747,747,3,1,NULL
748,748,3,1,16.8
749,749,3,1,15.3
750,750,3,1,18.0
751,751,3,1,13.8
752,752,3,1,NULL
753,753,3,1,16.6
754,754,3,1,14.8
755,755,3,1,16.0
756,756,3,1,12.0
757,757,3,1,11.4
758,758,3,1,9.0
759,759,3,1,NULL
760,760,3,1,NULL
764,764,3,1,15.5
765,765,3,1,16.6
766,766,3,1,15.0
768,768,3,1,17.0
770,770,3,1,21.8
772,772,3,1,16.0
773,773,3,1,NULL
774,774,3,1,NULL
775,775,3,1,12.0
776,776,3,1,NULL
777,777,3,1,12.5
778,778,3,1,9.7
780,780,3,1,9.8
781,781,3,1,13.4
782,782,3,1,12.6
783,783,3,1,11.3
784,784,3,1,21.0
785,785,3,1,11.0
786,786,3,1,20.0
787,787,3,1,19.8
789,789,3,1,19.3
790,790,3,1,15.7
791,791,3,1,16.2
792,792,3,1,10.0
793,793,3,1,11.3
794,794,3,1,NULL
796,796,3,1,9.7
798,798,3,1,22.0
799,799,3,1,11.0
800,800,3,1,22.0
801,801,3,1,15.5
802,802,3,1,NULL
803,803,3,1,13.0
804,804,3,1,NULL
809,809,3,1,9.0
810,810,3,1,13.0
811,811,3,1,12.9
812,812,3,1,15.0
813,813,3,1,14.2
814,814,3,1,14.7
815,815,3,1,15.0
816,816,3,1,14.4
818,818,3,1,15.0
819,819,3,1,13.9
820,820,3,1,16.0
822,822,3,1,13.4
823,823,3,1,15.0
824,824,3,1,12.1
825,825,3,1,20.0
826,826,3,1,13.1
827,827,3,1,15.5
828,828,3,1,12.9
829,829,3,1,22.0
831,831,3,1,15.2
832,832,3,1,14.3
835,835,3,1,13.6
839,839,3,1,17.5
840,840,3,1,22.2
842,842,3,1,NULL
843,843,3,1,15.4
844,844,3,1,22.0
846,846,3,1,8.0
847,847,3,1,10.0
849,849,3,1,NULL
852,852,3,1,13.5
853,853,3,1,NULL
854,854,3,1,21.7
856,856,3,1,11.8
859,859,3,1,12.8
862,862,3,1,12.5
863,863,3,1,15.0
864,864,3,1,6.0
865,865,3,1,8.8
866,866,3,1,13.5
868,868,3,1,17.2
869,869,3,1,8.0
870,870,3,1,9.9
871,871,3,1,NULL
873,873,3,1,16.0
875,875,3,1,14.7
876,876,3,1,12.6
878,878,3,1,15.2
879,879,3,1,15.8
881,881,3,1,16.6
883,883,3,1,NULL
884,884,3,1,10.0
885,885,3,1,NULL
886,886,3,1,15.5
887,887,3,1,16.2
888,888,3,1,10.0
889,889,3,1,14.2
890,890,3,1,13.4
893,893,3,1,16.6
895,895,3,1,NULL
897,897,3,1,15.6
899,899,3,1,16.7
900,900,3,1,16.2
901,901,3,1,15.0
902,902,3,1,10.0
903,903,3,1,22.0
904,904,3,1,NULL
905,905,3,1,12.2
907,907,3,1,4.0
908,908,3,1,20.5
909,909,3,1,12.3
910,910,3,1,14.0
911,911,3,1,NULL
913,913,3,1,11.5
914,914,3,1,13.1
915,915,3,1,12.2
916,916,3,1,17.6
918,918,3,1,NULL
920,920,3,1,15.8
921,921,3,1,22.0
922,922,3,1,16.5
923,923,3,1,13.4
924,924,3,1,13.8
925,925,3,1,13.0
926,926,3,1,NULL
927,927,3,1,16.1
929,929,3,1,NULL
930,930,3,1,NULL
931,931,3,1,12.1
934,934,3,1,13.1
935,935,3,1,11.5
936,936,3,1,15.5
938,938,3,1,21.3
939,939,3,1,13.6
940,940,3,1,13.6
941,941,3,1,15.36
942,942,3,1,11.0
943,943,3,1,10.0
944,944,3,1,7.5
945,945,3,1,10.6
946,946,3,1,15.0
947,947,3,1,NULL
949,949,3,1,13.0
950,950,3,1,13.0
951,951,3,1,11.8
952,952,3,1,9.0
953,953,3,1,21.0
954,954,3,1,13.4
955,955,3,1,22.0
956,956,3,1,9.0
958,958,3,1,8.6
959,959,3,1,21.9
960,960,3,1,21.0
961,961,3,1,12.8
962,962,3,1,21.8
964,964,3,1,9.7
965,965,3,1,15.5
966,966,3,1,9.8
967,967,3,1,13.2
